x1,x2,x3,x1-x2+x3^2
0.092199565,-0.590028517,1.478481792,2.868136491
-1.814430931,-1.037326784,-0.180391696,-0.744562983
-0.540254336,-0.73167805,1.298183265,1.876703504
-0.224552503,-0.768613204,-0.374188294,0.68407758
-1.24670222,0.81818119,-1.458897585,0.063498754
-0.930178407,-0.094406358,-1.028760936,0.222577014
0.197989671,1.41899184,-0.228080534,-1.168981439
0.545070509,1.111403366,-1.101091507,0.64606965
0.109729286,0.814768452,-1.040975748,0.378591342
0.450850072,0.004523745,-0.412160475,0.616202584
-0.398653179,1.819033944,-1.571389983,0.251579356
1.498437095,0.632889019,-0.782161239,1.47732428
1.584951993,2.887841055,1.051870255,-0.196458029
-1.130175816,-1.748251926,-0.00117319,0.618077486
1.177785221,0.624578347,0.933640646,1.42489173
-0.916998777,-1.272387748,-0.095460756,0.364501727
-0.909492981,-0.439570802,-1.329507837,1.29766891
-0.200836343,0.512750678,0.005065207,-0.713561365
0.928347335,0.890784383,1.285846682,1.690964642
-2.734827069,-1.670400682,1.024259604,-0.015318651
0.60683043,0.93205317,0.085404044,-0.317928889
-0.855666159,-1.130867125,0.105442037,0.286318989
-0.257824807,1.202358485,-0.626142774,-1.068128519
-0.114757486,-0.655447029,0.874846006,1.306045077
-1.806046613,-0.295909139,-1.881410969,2.02956976
0.46910567,-1.720584397,1.428766432,4.231063584
0.605696202,-0.38357711,-1.680587007,3.813646
0.301944562,0.085467891,-0.295544158,0.30382302
-0.131623391,-0.975778554,0.698163656,1.331587654
-0.127358912,0.804566876,1.556125438,1.489600591
0.683275668,-0.799533556,-0.840191041,2.188730209
1.082882873,0.447885274,1.065462553,1.770208051
0.916816043,-0.171780535,-0.225963165,1.13965593
0.673611513,-1.681891964,-2.17357556,7.079934192
0.841986748,0.824794282,0.817749409,0.685906562
-1.614520138,-0.06309923,1.72969276,1.440416136
-1.272585837,-1.834255362,-0.238611176,0.618604818
0.018869473,0.874983298,0.644789243,-0.440360657
1.040891409,1.240615887,0.098552224,-0.190011937
-0.924515749,0.190389578,-0.657688408,-0.682351285
-0.293005486,0.080741883,0.694004936,0.107895482
-0.682747564,0.247352654,0.784141069,-0.315223002
0.126524187,-0.07161103,-0.187311883,0.233220959
0.687739975,-0.362808463,-0.031714011,1.051554216
0.978121585,0.660561401,-0.927576177,1.177957748
-0.202237111,0.08566304,1.085637054,0.890707662
1.198825418,0.382219923,0.676782264,1.274639728
-0.098938867,-0.083844929,0.978653903,0.942669524
-1.103403403,-1.973506154,0.701640907,1.362402713
0.088418528,0.722775437,-1.625509182,2.007923192
-1.142096233,-0.772167874,-0.912104996,0.462007165
-0.46345037,-0.560378057,1.512800368,2.38549264
-0.122122947,-1.815028084,-0.169931619,1.721781892
0.859311893,-0.945241932,0.792708552,2.432940673
-2.312595895,-0.743197267,-0.161034042,-1.543466665
0.469623705,0.223632906,-1.494392297,2.479199136
0.083046833,-1.293753723,-0.098668926,1.386536113
-0.629517664,-1.275970412,-0.639397048,1.055281333
0.775556805,0.849478424,1.144007246,1.23483096
1.104812296,1.861791745,0.530302029,-0.475759207
1.170113602,-0.082802305,1.342205293,3.054430956
-0.900945247,-0.011796648,1.75645523,2.195986376
-1.165146057,-0.41069557,-2.071660166,3.537325356
-0.792628678,0.675068706,-0.733581819,-0.929555099
-1.791365423,-2.062328057,0.257963856,0.337507985
-0.902341311,-0.057899597,-0.676588886,-0.386669193
-1.567445739,-0.638043223,0.321302379,-0.826167297
0.57409384,-0.047017609,-0.803859008,1.267300754
0.595048303,0.859728382,-0.844282938,0.4481336
-0.331787041,0.357848705,-0.293843011,-0.603292031
0.362631366,0.906835418,-1.287355759,1.113080798
-0.884600589,0.952628597,0.789071978,-1.2145946
-0.004910031,1.908698281,0.576172572,-1.581633479
0.898364071,1.66679875,-0.25463507,-0.70359566
-1.081476824,-0.422887757,1.222212606,0.835214587
0.561208543,0.629000207,1.467544366,2.085894802
-1.097204978,-2.362432243,1.095036436,2.464332061
-0.081329196,-1.360807416,-1.088114607,2.463471618
0.885848015,2.766509318,-0.736775636,-1.337822965
-1.579024294,1.188033494,0.331758557,-2.656994048
-0.363148306,1.543708968,-1.148921398,-0.586836895
-1.00505807,1.170458127,0.071008997,-2.170473919
1.507011366,-0.457237978,-0.986957779,2.938335002
-0.128268884,0.811950061,-0.014461046,-0.940009823
-0.548090249,0.880459666,-1.500672425,0.823467812
0.15960467,-1.353390134,0.809908893,2.168947219
0.165810042,-0.025619371,-2.367926336,5.798504546
-0.551125348,-0.521567037,0.62684123,0.363371617
-1.761014534,0.181060711,-0.523939066,-1.6675631
0.421480994,0.181266118,2.253390579,5.317983978
0.160019912,1.665271582,0.383198383,-1.358410669
-0.06158214,0.139888986,-0.758221301,0.373428415
-0.400957982,-2.090548533,-0.152203683,1.712756512
-1.119089751,0.489072107,0.306073174,-1.51448107
0.71210488,-0.805683651,-1.447976208,3.61442363
-0.801598555,-1.312335188,2.753945903,8.09495467
0.672325846,0.254356565,-2.002563504,4.428229869
-0.597511496,-0.154741279,1.365451549,1.421687716
-0.735513403,0.522008233,-0.245762757,-1.197122303
1.892439601,1.088846182,-0.2458097,0.864015828
-0.323472703,0.365340918,-0.085408138,-0.681519071
-1.619128112,-1.74391881,1.104863798,1.34551471
0.518233131,-0.526632269,-0.079302572,1.051154298
-0.998359698,-0.919010631,-0.616142218,0.300282166
-0.981440238,0.836006153,-0.678810661,-1.356662478
0.684267795,1.086901524,1.893698727,3.18346114
-0.561381306,0.137716253,1.078994871,0.465132373
-0.229273917,-0.253790377,-1.20595527,1.478844573
-2.281110161,-1.034509026,1.223011974,0.249157154
